blockout2,BlockOut II,blackout2.png,Tetris like game (3D-tetris)
btanks,Battle Tanks,btanks.png,Fast 2D tank arcade game with multiplayer and split-screen modes
bzflag,BZFlag,bzflag.png,3D first person tank battle game
funnyboat,Funny Boat,funnyboat.png,Side scrolling arcade shooter game on a steamboat
gnujump,GNU Jump,gnujump.png,Platform game where you have to jump up to survive
minetest,Minetest,minetest.png,Multiplayer infinite-world block sandbox
whichwayisup,Which Way Is Up,whichwayisup.png,2D platform game with a slight rotational twist
